"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá hiện tại (VND)","Đơn vị tính","Giá gốc (VND)","Phần trăm giảm giá"
"Râu mực nhập khẩu","https://www.bachhoaxanh.com/ca-tom-muc-ech/rau-muc-nhap-khau-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/273353/bhx/273353-1_202510291547510758.jpg","65800","/500g","94000","30"
"Cá nục làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-nuc-lam-sach-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/339822/bhx/ca-nuc-lam-sach-500g_202506260946496333.jpg","37450","/500g","53500","30"
"Cá lóc làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-loc-song-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/222961/bhx/ca-loc-song-tui-500g_202505252004048182.jpg","37100","/500g","53000","30"
"Đầu cá hồi salar làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/dau-ca-hoi-tuoi-khay-1kg-300g-500g-cai","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/274988/bhx/274988-1_202510291557509466.jpg","51800","/600g-700g","74000","30"
"Ức cá basa","https://www.bachhoaxanh.com/ca-tom-muc-ech/uc-ca-basa-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8782/359910/bhx/thumb-km-11_202601191637254332.jpg","25000","/400g","29500","15"
"Thịt ốc bươu","https://www.bachhoaxanh.com/ca-tom-muc-ech/thit-oc-buou-lam-sach-vi-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/285038/bhx/thit-oc-buou-lam-sach-vi-200g_202510271635347375.jpg","15000","/200g","18000","17"
"Cá hồi coho cắt khúc nhập khẩu Chi Lê","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-hoi-coho-cat-khuc-nhap-khau-chi-le-200g-chi-giao-khuc-giua","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/336050/bhx/309115-1_202510291546271867.jpg","84000","/200g","130000","35"
"Cá diêu hồng làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-dieu-hong-lam-sach-nguyen-con","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/309731/bhx/ca-dieu-hong-lam-sach-nguyen-con_202505252312056234.jpg","35000","/500g","50000","30"
"Cá diêu hồng làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-dieu-hong-lam-sach-vi-800g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/226851/bhx/ca-dieu-hong-lam-sach-vi-800g_202505301345436899.jpg","35000","/500g","50000","30"
"Cá nục làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-nuc-lam-sach","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/316246/bhx/ca-nuc-lam-sach_202505231334251307.jpg","37450","/500g","53500","30"
