"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá gốc (VNĐ)","Giá hiện tại (VNĐ)","Phần trăm giảm giá","Đơn vị tính"
"Khổ qua","https://www.bachhoaxanh.com/cu/kho-qua-khay-500g-3-5-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8785/291352/bhx/thumb-km-7_202601160933301885.jpg","22000","22000","0","/500g"
"3 trái bắp mỹ","https://www.bachhoaxanh.com/cu/bap-my-trai-tu-300g-tro-len-3-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/358354/bhx/bap-my-trai-tu-300g-tro-len-3-trai_202510241003453573.jpg","25500","15000","41","/3 trái"
"Mướp hương","https://www.bachhoaxanh.com/cu/muop-huong","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2025/12/image/production/2025/12/image/Products/8785/341878/muop-huong_202512181402085285.jpg","7500","4500","40","/Trái khoảng 250g"
"Mướp hương","https://www.bachhoaxanh.com/cu/muop-huong-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/233900/bhx/muop-huong-tui-1kg_202504140919325825.jpg","15000","9000","40","/500g"
"Dưa leo","https://www.bachhoaxanh.com/cu/dua-leo-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/226881/bhx/dua-leo-tui-500g_202504140837248711.jpg","25000","16500","34","/1kg"
"Bí đỏ hồ lô (1 trái)","https://www.bachhoaxanh.com/cu/combo-2-bi-do-ho-lo-tui-700g-1-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/278777/bhx/combo-2-bi-do-ho-lo-tui-700g-1-trai_202504140843112492.jpg","18000","12000","33","/1kg"
"Bắp mỹ","https://www.bachhoaxanh.com/cu/bap-my-1-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/241815/bhx/bap-my-1-trai_202504140933150847.jpg","8500","8500","0","/1 trái 300-400g"
"Bắp cải trắng","https://www.bachhoaxanh.com/cu/bap-cai-trang-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/234101/bhx/bap-cai-trang-tui-1kg_202505211032411439.jpg","20000","20000","0","/800g"
"Bắp cải thảo","https://www.bachhoaxanh.com/cu/bap-cai-thao-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/233982/bhx/bap-cai-thao-1kg_202504140902039909.jpg","12500","12500","0","/500g"
"Khoai tây","https://www.bachhoaxanh.com/cu/khoai-tay-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/2/image/production/2026/2/image/Products/8785/230468/khoai-tay-500g_202602231555463854.jpg","15000","15000","0","/500g"
"Bí đỏ tròn","https://www.bachhoaxanh.com/cu/bi-do-tron-cat-san-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/230438/bhx/bi-do-tron-cat-san-1kg_202504140844256340.jpg","12500","12500","0","/500g"
"Bí đỏ tròn","https://www.bachhoaxanh.com/cu/bi-do-tron-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/341597/bhx/bi-do-tron-500g_202507281639218906.jpg","12500","11000","12","/500g"
"Bí đỏ hồ lô (1 trái)","https://www.bachhoaxanh.com/cu/bi-do-ho-lo-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/233887/bhx/bi-do-ho-lo-tui-1kg_202509111317287438.jpg","14400","9600","33","/800g"
"Bí đỏ non","https://www.bachhoaxanh.com/cu/bi-do-non-trai-250g-350g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/2/image/production/2026/2/image/Products/8785/316284/bi-do-non-trai-250g-350g_202602231604497339.jpg","10900","10900","0","/1 trái 250-350g"
"Cà chua bi","https://www.bachhoaxanh.com/cu/ca-chua-bi-hop-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/271475/bhx/ca-chua-bi-hop-300g_202504140839559740.jpg","19000","19000","0","/300g"
"Cà chua","https://www.bachhoaxanh.com/cu/ca-chua-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/2/image/production/2026/2/image/Products/8785/230449/ca-chua-1kg_202602231534288280.jpg","15000","15000","0","/500g"
"Cà chua beef","https://www.bachhoaxanh.com/cu/ca-chua-beef-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/233988/bhx/ca-chua-beef-1kg_202504140835039640.jpg","16500","16500","0","/500g"
"Cà rốt","https://www.bachhoaxanh.com/cu/ca-rot-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/234529/bhx/ca-rot-1kg_202504140920251335.jpg","17500","17500","0","/500g"
"Bầu sao","https://www.bachhoaxanh.com/cu/bau-sao-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/312963/bhx/bau-sao-500g_202507291538599036.jpg","12500","8500","32","/500g"
"Bầu sao","https://www.bachhoaxanh.com/cu/bau-sao-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/233898/bhx/bau-sao-tui-1kg_202507040913130044.jpg","12500","12500","0","/500g"
"Bí xanh","https://www.bachhoaxanh.com/cu/bi-xanh-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/312962/bhx/bi-xanh-500g_202507291532199902.jpg","12500","8500","32","/500g"
"Bí xanh","https://www.bachhoaxanh.com/cu/bi-xanh-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/233895/bhx/bi-xanh-tui-1kg_202507040912036256.jpg","12500","12500","0","/500g"
"Dưa leo","https://www.bachhoaxanh.com/cu/dua-leo-vi-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/230451/bhx/dua-leo-vi-500g_202504140837297310.jpg","12500","12500","0","/500g"
"Bắp cải tím","https://www.bachhoaxanh.com/cu/bap-cai-tim-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/234102/bhx/bap-cai-tim-tui-1kg_202504140858207123.jpg","19500","19500","0","/500g"
"Thơm nguyên vỏ","https://www.bachhoaxanh.com/cu/thom-mieng-khay-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/233930/bhx/thom-mieng-khay-1kg_202512031520400456.jpg","24200","20900","14","/1.1kg"
"Bắp Mỹ tách hạt","https://www.bachhoaxanh.com/cu/bap-my-tach-hat-khay-250g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/299768/bhx/bap-my-tach-hat-khay-250g_202510221657358391.jpg","16000","16000","0","/250g"
"Chanh không hạt","https://www.bachhoaxanh.com/cu/chanh-khong-hat-tui-250g-2-4-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/2/image/Products/Images/8785/299252/bhx/thumb-km_202602231512224260.jpg","12000","12000","0","/250g"
