"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá gốc (VNĐ)","Giá hiện tại (VNĐ)","Phần trăm giảm giá","Đơn vị tính"
"2 gói nấm hải sản nội địa Trung","https://www.bachhoaxanh.com/nam-tuoi/2-goi-nam-hai-san-noi-dia-trung-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8779/357838/bhx/2-goi-nam-hai-san-noi-dia-trung-1_202510291502265091.jpg","30000","19900","34","/2 gói 150g"
"3 gói nấm kim châm nội địa Trung","https://www.bachhoaxanh.com/nam-tuoi/3-goi-nam-kim-cham-noi-dia-trung-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8779/357837/bhx/3-goi-nam-kim-cham-noi-dia-trung-1_202510291501463434.jpg","27000","20000","26","/3 gói 150g"
"Nấm hương (nấm đông cô)","https://www.bachhoaxanh.com/nam-tuoi/nam-huong-150gr","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8779/344634/bhx/nam-huong-150gr_202509060945419279.jpg","27000","21000","22","/150g"
"Nấm đùi gà nội địa Trung","https://www.bachhoaxanh.com/nam-tuoi/nam-dui-ga-noi-dia-trung-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8779/337116/bhx/nam-dui-ga-noi-dia-trung-1_202510291503527428.jpg","38000","29900","21","/500g"
"Nấm bào ngư xám","https://www.bachhoaxanh.com/nam-tuoi/nam-bao-ngu-xam-bich-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8779/226957/bhx/thumb-bo-sap-omni-10_202601160934157888.jpg","23000","22000","4","/300g"
"Nấm hải sản nội địa Trung","https://www.bachhoaxanh.com/nam-tuoi/nam-hai-san-trung-quoc-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8779/325726/bhx/nam-hai-san-noi-dia-trung_202510291504283382.jpg","","15000","","/150g"
"Nấm kim châm nội địa Trung","https://www.bachhoaxanh.com/nam-tuoi/nam-dui-ga-baby-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8779/309289/bhx/nam-kim-cham-noi-dia-trung_202510291506509122.jpg","","9000","","/150g"
"Nấm kim châm Hàn Quốc","https://www.bachhoaxanh.com/nam-tuoi/nam-kim-cham-goi-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8779/226959/bhx/nam-kim-cham-goi-150g_202504121248383780.jpg","","14900","","/150g"
"Nấm lộc nhung","https://www.bachhoaxanh.com/nam-tuoi/nam-loc-nhung-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8779/345538/bhx/nam-loc-nhung-50g_202509151009248768.jpg","","35000","","/50g"
"Nấm linh chi trắng nội địa Trung","https://www.bachhoaxanh.com/nam-tuoi/nam-linh-chi-trang-trung-quoc-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8779/325742/bhx/nam-linh-chi-trang-noi-dia-trung-1_202510291505397458.jpg","","19000","","/150g"
"Nấm linh chi nâu nội địa Trung","https://www.bachhoaxanh.com/nam-tuoi/nam-linh-chi-nau-trung-quoc-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8779/325741/bhx/nam-linh-chi-nau-trung-quoc-150g_202510291504591630.jpg","","19000","","/150g"
"Lẩu nấm thiên nhiên","https://www.bachhoaxanh.com/nam-tuoi/lau-nam-thien-nhien-vi-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8779/226963/bhx/lau-nam-thien-nhien-vi-300g_202506051705102687.jpg","","32000","","/300g"
"Nấm tuyết gói 50g","https://www.bachhoaxanh.com/dau-cac-loai/nam-tuyet-vietfresh-goi-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3235/252985/bhx/nam-tuyet-vietfresh-goi-50g_202511171048243801.jpg","","39000","","/Gói 50g"
"Nấm hương khô gói 50g","https://www.bachhoaxanh.com/dau-cac-loai/nam-huong-kho-nguyen-bao-goi-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3235/245243/bhx/245243_202411171043340307.jpg","","32000","","/Gói 50g"
"Nấm đông cô gói 50g","https://www.bachhoaxanh.com/dau-cac-loai/nam-dong-co-kho-bach-hoa-xanh-goi-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3235/233827/bhx/233827_202411171032246070.jpg","","30000","","/Gói 50g"
"Nấm mèo đen khô gói 50g","https://www.bachhoaxanh.com/dau-cac-loai/nam-meo-den-kho-naita-goi-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3235/200371/bhx/200371_202411171025110085.jpg","","14600","","/Gói 50g"
"Nấm mèo đen thái sợi 50g","https://www.bachhoaxanh.com/dau-cac-loai/nam-meo-den-thai-soi-naita-goi-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3235/200360/bhx/200360_202411171024584771.jpg","","16000","","/Gói 50g"
