"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá gốc (VNĐ)","Giá hiện tại (VNĐ)","Phần trăm giảm giá","Đơn vị tính"
"Combo 4 Loại Cải (Cải Thìa, Cải Bẹ Xanh, Cải ngồng, Cải Bẹ Dún)","https://www.bachhoaxanh.com/rau-sach/combo-rau-cai-gia-tot-1","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8820/361565/combo-rau-cai-gia-tot-1_202601051720155156.jpg","67600","28000","59",""
"Combo 4 loại Rau Củ (Cải Thìa, Rau Muống, Bí Xanh, Bầu Sao)","https://www.bachhoaxanh.com/rau-sach/combo-rau-cu-tuoi-ngon-1","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8820/361569/combo-rau-cu-tuoi-ngon-1_202601051718159449.jpg","58800","29000","51",""
"Combo 4 Loại Rau (Cải thìa, Cải Ngọt, Mồng Tơi, Rau muống)","https://www.bachhoaxanh.com/rau-sach/combo-rau-xanh-tiet-kiem","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8820/361563/combo-rau-xanh-tiet-kiem_202601051717426500.jpg","67600","28000","59",""
"Rau mồng tơi","https://www.bachhoaxanh.com/rau-sach/rau-mong-toi-500-g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8820/310775/rau-mong-toi-500-g_202601141629287565.jpg","16900","10500","38","/400g"
"Cải ngọt","https://www.bachhoaxanh.com/rau-sach/cai-ngot-tui-400gr","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/335195/bhx/223330optimized_202506131038014557.jpg","16900","10500","38","/400g"
"Rau muống hạt","https://www.bachhoaxanh.com/rau-sach/rau-muong-hat-goi-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/298822/bhx/thumb-rau-muong-hat-tich_202506131109363165.jpg","16900","7900","53","/400g"
"Cải bẹ xanh","https://www.bachhoaxanh.com/rau-sach/cai-be-xanh","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8820/309156/cai-be-xanh_202601141630158498.jpg","16900","10500","38","/400g"
"Cải ngồng","https://www.bachhoaxanh.com/rau-sach/cai-ngong-goi-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8820/337165/cai-ngong-goi-400g_202601141627578886.jpg","16900","10500","38","/400g"
"Cải thìa","https://www.bachhoaxanh.com/rau-sach/cai-thia-da-lat-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/238556/bhx/thumb-cai-thia-tich-xanh_202507110937368060.jpg","16900","10500","38","/300g"
"Rau muống nước","https://www.bachhoaxanh.com/rau-sach/rau-muong-nuoc-400gr","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/335480/bhx/335480optimized_202506131007320723.jpg","16900","8900","47","/400g"
