"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá hiện tại (VND)","Đơn vị tính","Giá gốc (VND)","Phần trăm giảm giá"
"Thịt bò xay PTV 200g","https://www.bachhoaxanh.com/thit-bo/thit-bo-xay-ptv-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/325687/bhx/thit-bo-xay-ptv-200g_202511041110539870.jpg","48900","/200g","56900","14"
"Bò lúc lắc","https://www.bachhoaxanh.com/thit-bo/bo-luc-lac-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/337366/bhx/bo-luc-lac-200g_202508221104340271.jpg","71900","/200g","82900","13"
"Bò kho","https://www.bachhoaxanh.com/thit-bo/bo-kho-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/337367/bhx/bo-kho-200g_202508221059328120.jpg","52900","/200g","60900","13"
"Đùi bò","https://www.bachhoaxanh.com/thit-bo/dui-bo-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/341635/bhx/dui-bo-150g_202511041108475669.jpg","33228","/150g","42600","22"
"Thịt bò xào PTV","https://www.bachhoaxanh.com/thit-bo/thit-bo-xao-ptv-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/325684/bhx/thit-bo-xao-ptv-200g_202511041109503845.jpg","59900","/200g","67900","12"
"Bắp bò","https://www.bachhoaxanh.com/thit-bo/bap-bo-vi-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/332668/bhx/bap-bo-vi-300g_202511041111545404.jpg","59250","/300g","75000","21"
"Đùi bò","https://www.bachhoaxanh.com/thit-bo/dui-bo-viet-nam-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/233807/bhx/dui-bo-viet-nam-tui-1kg_202511041108393794.jpg","47840","/200g","59800","20"
"Thịt vụn bò","https://www.bachhoaxanh.com/thit-bo/thit-vun-bo","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/309116/bhx/thit-vun-bo_202511122204337874.jpg","42960","/300g","53700","20"
"Thịt vụn bò","https://www.bachhoaxanh.com/thit-bo/thit-vun-bo-vi-250g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8139/334239/bhx/thumb-km-4optimized_202601191628034355.jpg","41610","/250g","43800","5"
"Bắp bò","https://www.bachhoaxanh.com/thit-bo/bap-bo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/233810/bhx/bap-bo-1kg_202511041111594354.jpg","45120","/200g","56400","20"
"Bò xay Vinabeef","https://www.bachhoaxanh.com/thit-bo/bo-xay-vinabeef-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/358588/bhx/bo-xay-vinabeef-200g_202511041114113023.jpg","71000","/200g","",""
"Bò viên tươi","https://www.bachhoaxanh.com/thit-bo/bo-vien-tuoi-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/3/image/Products/Images/8139/339758/bhx/frame-3476034optimized_202603041012227594.jpg","42900","/200g","",""
