"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá hiện tại (VND)","Đơn vị tính","Giá gốc (VND)","Phần trăm giảm giá"
"Gà dai","https://www.bachhoaxanh.com/thit-ga/ga-dai-nhap-khau-600g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/332895/ga-dai-nhap-khau-600g_202601121520280140.jpg","45900","/500g - 600g","61200","25"
"Cánh gà giữa","https://www.bachhoaxanh.com/thit-ga/canh-ga-giua-nhap-khau-dong-lanh-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/249010/canh-ga-giua-nhap-khau-dong-lanh-tui-500g_202601121516124218.jpg","65250","/500g","87000","25"
"Ức gà phi lê có da","https://www.bachhoaxanh.com/thit-ga/uc-ga-phi-le-co-da-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/234105/uc-ga-phi-le-co-da-tui-500g_202601081035468237.jpg","40800","/500g","54400","25"
"Đùi gà góc tư","https://www.bachhoaxanh.com/thit-ga/dui-ga-goc-tu-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/226949/dui-ga-goc-tu-tui-500g_202601081051387559.jpg","39312","/500g","50400","22"
"Lòng gà","https://www.bachhoaxanh.com/thit-ga/long-ga-250gr","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/313892/bhx/long-ga-250gr_202511041052362671.jpg","22000","/250g","27500","20"
"Vịt nửa con","https://www.bachhoaxanh.com/thit-ga/vit-nua-con-cp","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/303471/bhx/vit-nua-con-cp_202512110940466033.jpg","90000","/1.2kg","125000","28"
"Ức gà phi lê có da","https://www.bachhoaxanh.com/thit-ga/uc-ga-phi-le-co-da-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/222942/uc-ga-phi-le-co-da-tui-1kg_202601081036445766.jpg","24720","/300g","30900","20"
"Má đùi gà cắt sẵn","https://www.bachhoaxanh.com/thit-ga/ma-dui-ga-cat-san-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/226888/ma-dui-ga-cat-san-1kg_202601081047286306.jpg","26240","/400g","32800","20"
"Má đùi gà cắt sẵn","https://www.bachhoaxanh.com/thit-ga/ma-dui-ga-cat-san-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/232930/ma-dui-ga-cat-san-tui-500g_202601081048132805.jpg","43560","/500g","48400","10"
"Vịt","https://www.bachhoaxanh.com/thit-ga/nua-con-vit","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/303470/bhx/nua-con-vit_202512101613066619.jpg","47520","/600g","59400","20"
"Đùi tỏi gà","https://www.bachhoaxanh.com/thit-ga/dui-toi-ga-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/226882/dui-toi-ga-tui-500g_202601081049218007.jpg","51040","/500g","63800","20"
"Đùi tỏi gà","https://www.bachhoaxanh.com/thit-ga/dui-toi-ga-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/233801/dui-toi-ga-1kg_202601081049590778.jpg","39040","/400g","48800","20"
"Đùi gà góc tư","https://www.bachhoaxanh.com/thit-ga/dui-ga-goc-tu-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/226946/dui-ga-goc-tu-1kg_202601081051005553.jpg","22320","/300g","27900","20"
"Cánh gà","https://www.bachhoaxanh.com/thit-ga/canh-ga-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/332832/canh-ga-500g_202601081053264006.jpg","47100","/500g","62800","25"
"Cánh gà","https://www.bachhoaxanh.com/thit-ga/canh-ga-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/226874/canh-ga-1kg_202601081054025760.jpg","28560","/300g","35700","20"
"Cánh tỏi gà","https://www.bachhoaxanh.com/thit-ga/canh-toi-ga-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/233798/canh-toi-ga-1kg_202601081057018747.jpg","36480","/400g","45600","20"
"Cánh tỏi gà","https://www.bachhoaxanh.com/thit-ga/canh-toi-ga-tui-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/223039/canh-toi-ga-tui-300g_202601081057376889.jpg","24178","/300g","31400","23"
"Gà vườn đất đỏ","https://www.bachhoaxanh.com/thit-ga/ga-vuon-dat-do","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/316860/bhx/ga-vuon-dat-do_202511041052089498.jpg","39600","/500g","49500","20"
"Xương gà","https://www.bachhoaxanh.com/thit-ga/xuong-ga-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8790/232937/bhx/thumb-bo-sap-omni-3_202601160925318411.jpg","17010","/500g","18900","10"
"Xương đùi gà","https://www.bachhoaxanh.com/thit-ga/xuong-dui-ga-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/233771/xuong-dui-ga-1kg_202601081101370572.jpg","13160","/500g","16450","20"
"Lòng gà","https://www.bachhoaxanh.com/thit-ga/long-ga-250gr","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/313892/bhx/long-ga-250gr_202511041052362671.jpg","27500","/250g","",""
"Chân gà rút xương Ngọc Tú 250g","https://www.bachhoaxanh.com/thit-ga/chan-ga-rut-xuong-ngoc-tu-khay-250g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/12718/303274/bhx/chan-ga-rut-xuong-ngoc-tu-khay-250g_202504140939538277.jpg","51900","/250g","",""
"[COMBO GIẢM CÂN] 500g Ức Gà + 400g Cải Ngọt + 1 Trái Bắp Mỹ","https://www.bachhoaxanh.com/thit-ga/combo-giam-can-uc-ga-rau-cai-ngot-bap-my","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/2/image/production/2026/2/image/Products/8790/363265/combo-giam-can-uc-ga-rau-cai-ngot-bap-my_202602271312026349.jpg","67960","","79800","15"
"[COMBO GIẢM CÂN] 500g Ức Gà + 10 Trứng Gà + 1 Trái Bắp Mỹ","https://www.bachhoaxanh.com/thit-ga/combo-giam-can-uc-ga-trung-ga-bap-my","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/2/image/production/2026/2/image/Products/8790/363199/combo-giam-can-uc-ga-trung-ga-bap-my_202602240931308663.jpg","73000","","89900","19"
"Chân gà rút xương VINACTFOODS 200g","https://www.bachhoaxanh.com/thit-ga/chan-ga-rut-xuong-vinactfoods-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/340941/bhx/chan-ga-rut-xuong-vinactfoods-200g_202507152108504944.jpg","46000","/200g","",""
"Sụn ức gà","https://www.bachhoaxanh.com/thit-ga/sun-uc-ga-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/305707/bhx/sun-uc-ga-500g_202511041055002377.jpg","67000","/500g","",""
"Gà mía nguyên con","https://www.bachhoaxanh.com/thit-ga/ga-dai-nhap-khau-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8790/239390/ga-dai-nhap-khau-tui-500g_202601121523526546.jpg","79560","/800g-1kg","102000","22"
"Chân gà","https://www.bachhoaxanh.com/thit-ga/chan-ga-vi-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/226950/bhx/chan-ga-vi-500g_202511041054470374.jpg","45400","/500g","",""
