"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá hiện tại (VND)","Đơn vị tính","Giá gốc (VND)","Phần trăm giảm giá"
"Sườn que heo","https://www.bachhoaxanh.com/thit-heo/xuong-que-heo-nhap-khau-dong-lanh-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/249017/xuong-que-heo-nhap-khau-dong-lanh-tui-500g_202601081015185994.jpg","32900","/500g","42000","22"
"Chân giò heo","https://www.bachhoaxanh.com/thit-heo/chan-gio-heo-nhap-khau-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/233758/chan-gio-heo-nhap-khau-1kg_202601080956005813.jpg","33000","/600g","41400","20"
"Thịt đùi heo","https://www.bachhoaxanh.com/thit-heo/thit-dui-heo-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/332800/thit-dui-heo-300g_202601081314421208.jpg","32000","/300g","40000","20"
"Ba rọi heo","https://www.bachhoaxanh.com/thit-heo/ba-roi-heo","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/342025/ba-roi-heo_202601271524071721.jpg","39240","/300g","54500","28"
"Sườn non heo","https://www.bachhoaxanh.com/thit-heo/suon-non-heo-cp-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/344531/suon-non-heo-cp-300g_202601300958028317.jpg","51205","/300g","66500","23"
"Ba rọi rút sườn heo","https://www.bachhoaxanh.com/thit-heo/ba-roi-heo-nhap-khau-nga-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/341632/ba-roi-heo-nhap-khau-nga-300g_202601271417129772.jpg","37720","/300g","46000","18"
"Ba rọi heo","https://www.bachhoaxanh.com/thit-heo/ba-roi-heo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/226834/ba-roi-heo-1kg_202601271522159288.jpg","53700","/400g","71600","25"
"Ba rọi rút sườn heo","https://www.bachhoaxanh.com/thit-heo/ba-roi-heo-nhap-khau","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/275804/ba-roi-heo-nhap-khau_202601271408564481.jpg","48640","/400g","60800","20"
"Thịt heo xay","https://www.bachhoaxanh.com/thit-heo/thit-heo-xay-cp-100g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/333450/thit-heo-xay-cp-100g_202601080924511660.jpg","10780","/100g","14000","23"
"Thịt heo xay","https://www.bachhoaxanh.com/thit-heo/thit-heo-xay-cp-khay-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8781/283165/bhx/thumb-bo-sap-omni-2_202601160923466309.jpg","25850","/200g","27500","6"
"Thịt đùi heo","https://www.bachhoaxanh.com/thit-heo/thit-dui-heo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/226865/thit-dui-heo-1kg_202601081314371746.jpg","41920","/400g","52400","20"
"Thịt nạc heo","https://www.bachhoaxanh.com/thit-heo/thit-nac-heo-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/332827/thit-nac-heo-300g_202601201321187612.jpg","35035","/300g","45500","23"
"Thịt nạc heo","https://www.bachhoaxanh.com/thit-heo/nac-dam-heo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/226842/nac-dam-heo-1kg_202601201321146489.jpg","48000","/400g","60000","20"
"Chân giò heo","https://www.bachhoaxanh.com/thit-heo/chan-gio-heo-cp-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8781/344660/bhx/thumb-km-2_202601191625556237.jpg","41000","/300g","",""
"Chân giò heo","https://www.bachhoaxanh.com/thit-heo/chan-gio-heo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/233783/chan-gio-heo-1kg_202601080953169005.jpg","48600","/450g","60750","20"
"Chân giò heo","https://www.bachhoaxanh.com/thit-heo/chan-gio-heo-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8781/226838/bhx/thumb-km-1_202601160922026088.jpg","17900","/300g","21000","15"
"Sườn cốt lết","https://www.bachhoaxanh.com/thit-heo/suon-cot-let-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/226937/suon-cot-let-1kg_202601080957234695.jpg","44480","/400g","55600","20"
"Sườn cốt lết","https://www.bachhoaxanh.com/thit-heo/suon-cot-let-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/226943/suon-cot-let-tui-500g_202601080958033897.jpg","54285","/500g","70500","23"
"Sườn non heo","https://www.bachhoaxanh.com/thit-heo/suon-non-heo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/226856/suon-non-heo-1kg_202601300958514596.jpg","70080","/400g","87600","20"
"Sườn non heo","https://www.bachhoaxanh.com/thit-heo/suon-non-heo-brazil-3kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8781/341819/bhx/thumb-km-2_202601220926305670.jpg","47025","/300g","49500","5"
"Sườn non heo","https://www.bachhoaxanh.com/thit-heo/suon-non-heo-nhap-khau-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/233756/suon-non-heo-nhap-khau-1kg_202601081002459377.jpg","52800","/400g","66000","20"
"Xương heo có thịt","https://www.bachhoaxanh.com/thit-heo/xuong-heo-co-thit-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8781/233789/xuong-heo-co-thit-1kg_202601081006544713.jpg","37440","/400g","46800","20"
"Xương heo có thịt","https://www.bachhoaxanh.com/thit-heo/xuong-heo-co-thit-cp-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8781/358315/bhx/thumb-bo-sap-omni-1_202601160922255997.jpg","35500","/300g","",""
"Phèo non heo NT Pearly Food","https://www.bachhoaxanh.com/thit-heo/pheo-non-heo-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/325688/bhx/thumb-pheo-non-heo-dat-truoc_202505301033154040.jpg","61500","/300g","",""
"Gan heo NT Pearly Food","https://www.bachhoaxanh.com/thit-heo/gan-heo-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/309299/bhx/thumb-gan-heo-mat-dat_202505310936401421.jpg","27500","/300g","",""
"Tai heo NT Pearly Food","https://www.bachhoaxanh.com/thit-heo/tai-heo-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/309294/bhx/thumb-tai-heo-dat-truoc_202505301026297415.jpg","59500","/300g","",""
"Bao tử heo NT Pearly Food","https://www.bachhoaxanh.com/thit-heo/bao-tu-heo-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/309291/bhx/thumb-bao-tu-heo-dat-truoc_202505301053596027.jpg","65500","/300g","",""
"Lưỡi heo NT Pearly Food","https://www.bachhoaxanh.com/thit-heo/luoi-heo-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/309277/bhx/thumb-luoi-heo-dat-truoc_202505301043127138.jpg","58050","/300g","64500","10"
