"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá hiện tại (VND)","Đơn vị tính","Giá gốc (VND)","Phần trăm giảm giá"
"Dưa hấu đỏ 1 trái","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/dua-hau-do-trai-25-27kg-1-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/339053/bhx/dua-hau-do-trai-25-kg-1-trai-clone_202505311641555096.jpg","28600","/trái 2.5-2.7kg","49400","42"
"Chuối già giống Nam Mỹ","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/chuoi-gia-giong-nam-my-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/313132/bhx/chuoi-gia-giong-nam-my-1kg_202512031458452979.jpg","19900","/1kg","32000","38"
"Bưởi da xanh","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/buoi-da-xanh-trai-13kgg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/359138/bhx/buoi-da-xanh-trai-13kgg_202511120858569628.jpg","39000","/trái từ 1.2-1.4kg","62400","38"
"Mít thái xẻ miếng","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/mit-thai-xe-mieng","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/314554/bhx/mit-thai-xe-mieng_202510221533434250.jpg","14500","/500g","20200","28"
"Xoài keo","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/xoai-keo-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/233096/bhx/xoai-keo-tui-1kg_202512031518455251.jpg","17000","/1kg","23600","28"
"Cam sành","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/cam-sanh-5kg-trai-tu-130g-tro-len","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/358219/bhx/cam-sanh-5kg-trai-tu-130g-tro-len_202510211011044800.jpg","55000","/5kg","75000","27"
"Cam sành","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/cam-sanh","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/321604/bhx/cam-sanh_202510221511128369.jpg","7500","/500g","",""
"Quýt mini nội địa Trung","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/quyt-mini-nhap-khau-trung-quoc-hop-1kg-khoang-20-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/231363/bhx/quyt-mini-noi-dia-trung-2_202512031507250248.jpg","25200","/500g","",""
"Quýt mini nội địa Trung","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/quyt-mini-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8788/223036/quyt-mini-tui-500g_202601151539461101.jpg","42000","/1kg","50400","17"
"Chuối già giống Nam Mỹ","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/chuoi-gia-giong-nam-my","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/228923/bhx/chuoi-gia-giong-nam-my_202512031458490151.jpg","16000","/500g","",""
"Quýt giống Úc nội địa Trung","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/quyt-giong-uc-tui-800g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/3/image/production/2026/3/image/Products/8788/334405/quyt-giong-uc-tui-800g_202603031322396940.jpg","33000","/800g","39000","15"
"Tắc đường (Kim quất) nội địa Trung","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/tac-duong-hop-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2025/12/image/Products/Images/8788/320015/bhx/tac-duong-kim-quat-noi-dia-trung_202512221547214102.jpg","52000","/400g","",""
"2 hộp tắc đường (Kim quất) nội địa Trung","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/2-hop-tac-duong-kim-quat-noi-dia-trung-hop-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8788/361977/bhx/tac-duong-kim-quat-noi-dia-trung-1_202601131444131124.jpg","79000","/2 hộp","98000","19"
"Táo Gala chua ngọt","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/tao-gala-nhap-khau-new-zealand-tui-lon-700g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8788/341013/tao-gala-nhap-khau-new-zealand-tui-lon-700g_202601151543388731.jpg","53900","/700g","59900","10"
"Táo Ambrosia nhập khẩu Mỹ","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/tao-ambrosia-nhap-khau-new-zealand-tui-lon-700g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8788/356839/bhx/tao-ambrosia-nhap-khau-new-zealand-1_202601070941595169.jpg","89900","/700g","",""
"Táo Fuji nội địa Trung","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/tao-fuji-noi-dia-trung-tui-700g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8788/359992/bhx/thumb-km_202601201413411682.jpg","58500","/700g","66400","12"
"Lê đường nội địa Trung","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/le-duong-nhap-khau-trung-quoc-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/234055/bhx/le-duong-noi-dia-trung-trai-tu-200g_202512031509586603.jpg","27700","/500g","",""
"Lê đường nội địa Trung","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/le-duong-hop-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/223091/bhx/le-duong-nhap-khau-trung-quoc_202512031510049116.jpg","42000","/1kg","55400","24"
"Lê nâu Singo nội địa Trung","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/le-nau-singo-noi-dia-trung-hop-2-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/342880/bhx/le-nau-singo-noi-dia-trung_202510291323290260.jpg","38400","/Hộp 2 trái","",""
"Lê hoàng kim nội địa Trung","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/le-hoang-kim-noi-dia-trung-hop-2-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/342879/bhx/le-hoang-kim-noi-dia-trung_202510291324135193.jpg","38400","/Hộp 2 trái","",""
"Táo Story mini Pháp","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/tao-story-mini-phap-tui-8-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8788/361955/bhx/tao-story-mini-phap-trai-tu-50g-1_202601121600093798.jpg","55000","/Túi 8 trái","69000","20"
"Táo Story Pháp","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/tao-story-phap-tui-700g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8788/361954/bhx/tao-story-phap_202601121547492036.jpg","62000","/700g","79000","22"
"Mận An Phước","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/man-an-phuoc-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/222844/bhx/man-an-phuoc-tui-1kg_202510311135469664.jpg","14750","/500g","",""
"Mận An Phước","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/man-an-phuoc-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/232502/bhx/man-an-phuoc-500g_202510311135503751.jpg","23000","/1kg","29500","22"
"Bưởi da xanh 1 trái","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/buoi-da-xanh-loai-2-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/223418/bhx/buoi-da-xanh-loai-2-1kg_202504122259394989.jpg","62400","/1.3kg","",""
"Dưa lưới tròn ruột cam (1 trái)","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/dua-luoi-tron-ruot-cam-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/226931/bhx/dua-luoi-tron-ruot-cam-1kg_202508180928122619.jpg","54600","/1.3kg","72800","25"
"Ổi Đài Loan","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/oi-dai-loan-hop-1-kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/226918/bhx/oi-dai-loan-hop-1-kg_202511031551399326.jpg","10500","/500g","",""
"Ổi Đài Loan","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/oi-dai-loan-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/226921/bhx/oi-dai-loan-tui-1kg_202511031551328365.jpg","15000","/1kg","20000","25"
"Xoài keo","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/xoai-keo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/233616/bhx/xoai-keo-1kg_202512031518390726.jpg","16520","/700g","",""
"Sapoche","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/sapoche-loai-dac-biet-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/223388/bhx/sapoche-loai-dac-biet-500g_202506261358205474.jpg","19000","/500g","",""
"Dưa gang sáp dẻo","https://www.bachhoaxanh.com/trai-cay-tuoi-ngon/dua-gang-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8788/244445/bhx/dua-gang-1kg_202504121407240676.jpg","15000","/1kg","",""
