"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá hiện tại (VND)","Đơn vị tính","Giá gốc (VND)","Phần trăm giảm giá"
"2 hộp trứng cút hộp 30 quả","https://www.bachhoaxanh.com/trung/2-hop-trung-cut-hop-30-qua-tu-300g-360g-giao-ngau-nhien-thuong-hieu","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/358504/bhx/trung-cut-hop-30-qua-tu-300g-360g-giao-ngau-nhien-thuong-hieu-clone_202510301458324264.jpg","44000","/2 hộp","54000","19"
"2 hộp trứng vịt hộp 10 quả","https://www.bachhoaxanh.com/trung/2-hop-trung-vit-hop-10-qua-tu-600g-700g-giao-ngau-nhien-thuong-hieu","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/358508/bhx/trung-vit-hop-10-qua-tu-600g-700g-giao-ngau-nhien-thuong-hieu-clone_202510301504309050.jpg","60000","/2 hộp","72000","17"
"2 hộp trứng gà hộp 10 quả","https://www.bachhoaxanh.com/trung/2-hop-trung-ga-hop-10-qua-giao-ngau-nhien-thuong-hieu","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/358218/bhx/2-hop-trung-ga-hop-10-qua-giao-ngau-nhien-thuong-hieu_202510210955036207.jpg","50000","/2 hộp","56000","11"
"Trứng vịt hộp 10 quả size lớn","https://www.bachhoaxanh.com/trung/trung-vit-hop-10-qua-trung-lon-giao-ngau-nhien-thuong-hieu","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/340073/bhx/trung-vit-hop-10-qua-trung-lon-giao-ngau-nhien-thuong-hieu_202509301126418299.jpg","32000","","",""
"Trứng gà hộp 10 quả (trứng lớn)","https://www.bachhoaxanh.com/trung/trung-ga-hop-10-qua-trung-lon-giao-ngau-nhien-thuong-hieu","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/340072/bhx/trung-ga-hop-10-qua-trung-lon-giao-ngau-nhien-thuong-hieu_202509301126101595.jpg","27000","/610g-670g","",""
"Trứng vịt hộp 10 quả (giao ngẫu nhiên thương hiệu)","https://www.bachhoaxanh.com/trung/trung-vit-hop-10-qua","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/311102/bhx/trung-vit-hop-10-qua_202509301122002833.jpg","32000","","",""
"Trứng gà tươi hộp 10 quả","https://www.bachhoaxanh.com/trung/hop-10-trung-ga-tuoi-tfood","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/228775/bhx/hop-10-trung-ga-tuoi-tfood_202509301104427641.jpg","27000","","",""
"Trứng gà so hộp 10 tặng 2 (giao ngẫu nhiên thương hiệu)","https://www.bachhoaxanh.com/trung/trung-ga-so-hop-10-tang-2","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/309143/bhx/trung-ga-so-hop-10-tang-2_202509301125211985.jpg","27000","","",""
"Trứng gà ta hộp 6 quả (giao ngẫu nhiên thương hiệu)","https://www.bachhoaxanh.com/trung/trung-ga-ta-hop-6-qua","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/311111/bhx/trung-ga-ta-hop-6-qua_202509301124032388.jpg","25000","","",""
"Trứng vịt muối hộp 4 quả (giao ngẫu nhiên thương hiệu)","https://www.bachhoaxanh.com/trung/trung-vit-muoi-hop-4-qua","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/311104/bhx/trung-vit-muoi-hop-4-qua_202509301122556681.jpg","25000","","",""
"Trứng vịt bắc thảo hộp 4 quả (giao ngẫu nhiên thương hiệu)","https://www.bachhoaxanh.com/trung/trung-vit-bac-thao-hop-4-qua","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/311103/bhx/trung-vit-bac-thao-hop-4-qua_202509301122330423.jpg","25000","","",""
"Trứng cút hộp 30 (giao ngẫu nhiên thương hiệu)","https://www.bachhoaxanh.com/trung/trung-cut-hop-30","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/311101/bhx/trung-cut-hop-30_202509301108172327.jpg","25000","","",""
"[COMBO GIẢM CÂN] 500g Ức Gà + 10 Trứng Gà + 1 Trái Bắp Mỹ","https://www.bachhoaxanh.com/thit-ga/combo-giam-can-uc-ga-trung-ga-bap-my","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/2/image/production/2026/2/image/Products/8790/363199/combo-giam-can-uc-ga-trung-ga-bap-my_202602240931308663.jpg","73000","","89900","19"
